time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15;cpu_16;cpu_17;cpu_18;cpu_19;cpu_20;cpu_21;cpu_22;cpu_23;cpu_24;cpu_25;cpu_26;cpu_27;cpu_28;cpu_29;cpu_30;cpu_31
1080000.0;5;3733.333252;551466.6875;0.47;923380;1722340;89.0;1.2;15;100.0;100.0;87.0;100.0;87.0;87.0;100.0;87.0;100.0;87.0;100.0;100.0;87.0;100.0;87.0;87.0;100.0;100.0;87.0;100.0;100.0;75.0;100.0;75.0;100.0;87.0;100.0;100.0;87.0;87.0;100.0;100.0
1080000.0;5;11200.0;1112533.375;0.47;923380;1722340;89.0;1.5;15;100.0;100.0;88.0;88.0;100.0;100.0;88.0;75.0;88.0;88.0;100.0;100.0;100.0;100.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;75.0;88.0;88.0;88.0;88.0;88.0;88.0;100.0;63.0
1080000.0;5;3500.0;1052000.0;0.47;923380;1722340;89.0;1.2;15;100.0;100.0;100.0;100.0;100.0;87.0;100.0;87.0;100.0;87.0;100.0;87.0;100.0;74.0;100.0;74.0;87.0;87.0;100.0;87.0;100.0;74.0;100.0;74.0;87.0;74.0;100.0;87.0;74.0;100.0;87.0;74.0
1080000.0;5;3500.0;775500.0;0.47;923380;1722340;89.0;1.2;15;100.0;87.0;100.0;87.0;100.0;87.0;100.0;100.0;87.0;75.0;100.0;100.0;100.0;100.0;100.0;87.0;100.0;87.0;100.0;87.0;100.0;100.0;100.0;87.0;75.0;75.0;87.0;87.0;100.0;87.0;87.0;87.0
1080000.0;5;9333.333008;919111.0625;0.47;923380;1722340;89.0;1.6;15;100.0;100.0;100.0;87.0;87.0;87.0;100.0;87.0;100.0;75.0;100.0;87.0;100.0;87.0;100.0;87.0;100.0;87.0;100.0;87.0;100.0;75.0;100.0;87.0;87.0;75.0;100.0;87.0;100.0;87.0;100.0;75.0
1080000.0;5;5090.90918;376000.0;0.47;923380;1722340;89.0;0.78;15;100.0;100.0;100.0;100.0;100.0;88.0;100.0;100.0;100.0;100.0;88.0;100.0;100.0;100.0;88.0;88.0;88.0;100.0;100.0;100.0;88.0;75.0;88.0;88.0;75.0;88.0;100.0;88.0;100.0;88.0;88.0;75.0
1080000.0;5;4000.0;1477142.875;0.47;923380;1722340;89.0;1.6;15;100.0;87.0;100.0;87.0;100.0;87.0;87.0;87.0;87.0;87.0;100.0;100.0;100.0;100.0;87.0;87.0;100.0;87.0;100.0;75.0;100.0;100.0;75.0;87.0;87.0;87.0;100.0;87.0;100.0;100.0;100.0;75.0
1080010.0;5;5600.0;1034000.0;0.47;923380;1722340;89.0;1.2;15;100.0;87.0;100.0;87.0;100.0;100.0;100.0;87.0;100.0;87.0;100.0;87.0;100.0;87.0;100.0;87.0;100.0;87.0;100.0;75.0;87.0;75.0;87.0;87.0;100.0;75.0;100.0;87.0;100.0;75.0;100.0;87.0
1080010.0;5;7466.666504;275733.34375;0.47;923380;1722340;89.0;1.2;15;100.0;100.0;100.0;88.0;100.0;88.0;100.0;100.0;100.0;100.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;100.0;100.0;88.0;88.0;88.0;100.0;100.0;100.0;88.0;100.0;75.0
1080010.0;5;3294.117676;486588.25;0.47;923380;1722340;89.0;1.6;15;100.0;100.0;100.0;88.0;100.0;88.0;100.0;100.0;100.0;100.0;100.0;88.0;88.0;88.0;100.0;100.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;75.0;100.0;88.0
