time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15;cpu_16;cpu_17;cpu_18;cpu_19;cpu_20;cpu_21;cpu_22;cpu_23;cpu_24;cpu_25;cpu_26;cpu_27;cpu_28;cpu_29;cpu_30;cpu_31
1080000.0;4;3200.0;236342.859375;0.22;884468;1656792;29;2.0;15;75;100;38;88;75;88;62;100;100;88.0;62;100.0;100.0;62.0;75.0;100.0;100;75;100;75;75.0;75.0;100;75;75.0;75.0;62.0;88.0;100.0;100.0;75.0;75.0
1080000.0;4;3111.111084;229777.78125;0.22;884468;1656792;29;2.4;15;62;75;75;100;75;75;87;100;100;75.0;75;100.0;87.0;87.0;75.0;100.0;100;87;100;87;75.0;75.0;100;75;37.0;75.0;62.0;100.0;100.0;87.0;62.0;75.0
1080000.0;4;1647.058838;364941.1875;0.22;884468;1656792;29;2.4;15;75;100;75;87;75;75;75;100;100;100.0;75;100.0;100.0;75.0;75.0;100.0;100;87;100;75;62.0;75.0;100;75;75.0;100.0;75.0;75.0;100.0;75.0;75.0;75.0
1080000.0;4;4097.561035;302634.15625;0.22;884468;1656792;29;2.0;15;75;75;75;75;75;75;75;100;100;50.0;75;100.0;100.0;62.0;88.0;100.0;100;75;100;75;62.0;62.0;75;75;75.0;100.0;62.0;50.0;100.0;62.0;62.0;88.0
1080000.0;4;3294.117676;243294.125;0.22;884468;1656792;29;2.4;15;62;75;75;75;75;87;75;100;100;75.0;75;100.0;87.0;87.0;87.0;100.0;87;75;100;87;62.0;75.0;49;49;62.0;100.0;62.0;75.0;100.0;75.0;62.0;75.0
1080000.0;4;1272.727295;94000.0;0.22;884468;1656792;29;2.8;15;75;87;49;75;75;87;75;100;100;100.0;100;100.0;75.0;75.0;87.0;100.0;75;87;100;87;62.0;75.0;75;75;37.0;100.0;62.0;75.0;75.0;75.0;75.0;87.0
1080000.0;4;1600.0;472685.71875;0.22;884468;1656792;29;2.3;15;88;88;25;75;75;75;88;100;62;12.0;75;100.0;100.0;75.0;100.0;100.0;62;75;100;100;75.0;75.0;75;75;75.0;100.0;75.0;50.0;75.0;62.0;62.0;100.0
1080010.0;4;3500.0;387750.0;0.22;884468;1656792;29;2.0;15;87;75;62;75;87;87;87;87;75;87.0;75;100.0;75.0;87.0;100.0;100.0;75;75;100;100;62.0;75.0;75;62;100.0;100.0;62.0;75.0;75.0;62.0;87.0;100.0
1080010.0;4;6000.0;738571.4375;0.22;884468;1656792;29;2.0;15;62;75;62;75;75;100;100;88;62;88.0;75;88.0;100.0;75.0;100.0;100.0;62;75;100;100;62.0;88.0;62;88;100.0;100.0;75.0;75.0;62.0;75.0;100.0;75.0
1080010.0;4;5600.0;275733.34375;0.22;884468;1656792;29;2.0;15;100;100;75;75;75;100;75;49;87;37.0;75;75.0;100.0;75.0;100.0;100.0;75;87;100;100;62.0;62.0;75;100;100.0;100.0;62.0;87.0;75.0;62.0;100.0;75.0
1080010.0;4;2800.0;206800.0;0.22;884468;1656792;29;2.3;15;88;75;88;75;88;100;88;100;100;75.0;62;88.0;100.0;100.0;88.0;100.0;75;62;100;100;75.0;88.0;75;88;100.0;100.0;62.0;100.0;62.0;88.0;62.0;75.0
1080010.0;4;6222.222168;459555.53125;0.22;884468;1656792;29;2.3;15;75;88;100;88;75;100;75;75;100;88.0;75;62.0;75.0;100.0;75.0;100.0;75;75;100;100;62.0;88.0;75;75;100.0;100.0;75.0;100.0;62.0;62.0;75.0;88.0
1080010.0;4;3294.117676;486588.25;0.22;884468;1656792;29;2.0;15;100;75;75;88;75;100;88;75;100;88.0;75;88.0;75.0;100.0;62.0;100.0;50;88;100;100;62.0;88.0;62;88;100.0;100.0;62.0;100.0;62.0;88.0;100.0;88.0
1080010.0;4;3612.90332;266838.71875;0.22;884468;1656792;29;2.4;15;100;87;100;75;75;100;75;75;100;87.0;75;75.0;100.0;100.0;75.0;100.0;75;62;100;100;75.0;75.0;75;100;100.0;87.0;62.0;87.0;75.0;75.0;100.0;49.0
1080010.0;4;5333.333496;393904.75;0.22;884468;1656792;29;2.4;15;100;75;75;100;75;100;87;62;100;87.0;75;75.0;100.0;100.0;62.0;100.0;75;75;100;100;62.0;75.0;62;100;100.0;62.0;75.0;75.0;75.0;75.0;100.0;87.0
1080010.0;4;4666.666504;114888.890625;0.22;884468;1656792;29;2.3;15;75;75;75;62;75;100;100;88;100;88.0;88;88.0;75.0;100.0;75.0;100.0;62;50;100;100;62.0;75.0;62;88;100.0;88.0;62.0;100.0;75.0;75.0;100.0;75.0
1080020.0;4;4666.666504;459555.53125;0.22;884468;1656792;29;2.4;15;100;100;75;62;75;100;100;75;100;75.0;75;100.0;100.0;100.0;75.0;100.0;75;37;100;100;62.0;87.0;87;75;100.0;87.0;75.0;75.0;75.0;75.0;100.0;62.0
1080020.0;4;3111.111084;459555.53125;0.22;884468;1656792;29;2.0;15;88;75;62;62;62;100;100;75;100;62.0;75;100.0;75.0;88.0;62.0;100.0;62;75;100;100;62.0;62.0;62;75;100.0;62.0;50.0;75.0;62.0;88.0;100.0;100.0
1080020.0;4;3294.117676;243294.125;0.22;884468;1656792;29;2.0;15;87;100;75;75;87;100;100;87;100;87.0;62;100.0;100.0;87.0;62.0;100.0;87;87;100;100;75.0;75.0;62;75;100.0;75.0;75.0;75.0;75.0;100.0;100.0;100.0
1080020.0;4;4480.0;661760.0;0.22;884468;1656792;29;2.0;15;50;100;75;62;75;100;100;75;100;50.0;88;100.0;75.0;62.0;75.0;100.0;88;75;100;100;75.0;62.0;62;62;100.0;88.0;62.0;62.0;75.0;100.0;100.0;100.0
1080020.0;4;3393.939453;250666.671875;0.22;884468;1656792;29;2.3;15;88;100;88;88;76;100;100;76;100;88.0;76;88.0;76.0;76.0;76.0;100.0;100;88;100;100;88.0;88.0;76;63;100.0;76.0;76.0;76.0;76.0;88.0;100.0;100.0
1080020.0;4;4000.0;590857.125;0.22;884468;1656792;29;2.0;15;87;100;87;74;87;74;100;74;87;100.0;74;100.0;100.0;74.0;74.0;100.0;100;74;100;100;74.0;100.0;87;61;100.0;74.0;87.0;61.0;87.0;74.0;100.0;100.0
1080020.0;4;5793.103516;285241.375;0.22;884468;1656792;29;2.0;15;75;100;75;88;88;75;100;75;100;100.0;88;75.0;100.0;75.0;88.0;100.0;100;62;100;100;75.0;100.0;75;75;100.0;75.0;75.0;100.0;75.0;62.0;88.0;100.0
1080020.0;4;3393.939453;376000.0;0.22;884468;1656792;29;2.0;15;62;100;75;100;75;62;75;62;100;75.0;75;75.0;62.0;62.0;75.0;100.0;100;62;100;62;75.0;100.0;75;75;100.0;62.0;75.0;100.0;100.0;75.0;62.0;100.0
1080020.0;4;4480.0;330880.0;0.22;884468;1656792;29;1.6;15;88;88;38;100;75;75;50;75;75;75.0;75;62.0;62.0;75.0;62.0;100.0;75;75;100;25;75.0;100.0;88;100;100.0;75.0;62.0;100.0;100.0;88.0;62.0;100.0
1080020.0;4;4480.0;496320.0;0.22;884468;1656792;29;2.0;15;49;87;75;100;100;75;75;75;49;87.0;75;75.0;62.0;87.0;75.0;75.0;100;87;100;24;62.0;100.0;75;75;100.0;62.0;62.0;100.0;100.0;87.0;75.0;100.0
1080020.0;4;4480.0;496320.0;0.22;884468;1656792;29;1.6;15;75;88;75;100;88;75;88;75;75;75.0;75;100.0;75.0;75.0;75.0;100.0;100;62;100;38;88.0;62.0;75;75;100.0;75.0;88.0;38.0;100.0;62.0;88.0;100.0
1080030.0;4;3733.333252;137866.671875;0.22;884468;1656792;29;2.3;15;75;100;50;100;75;100;75;75;75;75.0;75;100.0;75.0;100.0;75.0;75.0;100;75;100;75;75.0;62.0;75;62;100.0;62.0;75.0;75.0;100.0;75.0;62.0;100.0
1080030.0;4;4000.0;590857.125;0.22;884468;1656792;29;2.0;15;75;75;62;100;88;100;88;75;88;75.0;88;75.0;62.0;88.0;75.0;88.0;100;75;100;62;88.0;100.0;75;62;100.0;75.0;75.0;75.0;100.0;62.0;75.0;100.0
1080030.0;4;6222.222168;306370.375;0.22;884468;1656792;29;1.6;15;75;87;75;100;75;100;100;75;100;75.0;75;100.0;75.0;87.0;75.0;62.0;100;87;100;49;75.0;100.0;62;87;100.0;75.0;62.0;87.0;100.0;75.0;75.0;100.0
1080030.0;4;3111.111084;344666.65625;0.22;884468;1656792;29;2.3;15;75;88;50;100;88;100;75;75;100;88.0;62;100.0;50.0;75.0;75.0;75.0;88;88;100;88;75.0;100.0;75;75;100.0;62.0;62.0;38.0;100.0;75.0;62.0;100.0
1080030.0;4;4540.540527;223567.5625;0.22;884468;1656792;29;2.4;15;87;87;62;75;75;87;100;87;62;100.0;87;100.0;62.0;100.0;75.0;100.0;62;100;100;75;62.0;100.0;62;75;100.0;87.0;75.0;87.0;100.0;75.0;62.0;100.0
1080030.0;4;9333.333008;689333.375;0.22;884468;1656792;29;2.0;15;75;87;75;100;75;100;87;75;62;100.0;75;100.0;75.0;87.0;75.0;49.0;75;75;100;75;75.0;100.0;100;75;100.0;62.0;75.0;75.0;100.0;75.0;75.0;100.0
1080030.0;4;3027.0271;223567.5625;0.22;884468;1656792;29;2.3;15;88;75;75;100;88;75;75;75;75;88.0;75;88.0;100.0;100.0;75.0;88.0;88;62;100;75;75.0;100.0;100;62;100.0;75.0;75.0;75.0;100.0;62.0;75.0;100.0
1080030.0;4;7466.666504;275733.34375;0.22;884468;1656792;29;2.4;15;75;87;87;100;75;75;75;100;75;75.0;75;87.0;100.0;100.0;75.0;75.0;75;75;100;62;75.0;100.0;100;62;100.0;62.0;75.0;75.0;100.0;100.0;75.0;100.0
1080030.0;4;2333.333252;172333.328125;0.22;884468;1656792;29;1.2;15;88;75;25;100;88;62;62;75;75;88.0;75;75.0;100.0;88.0;75.0;62.0;75;88;100;75;62.0;100.0;88;88;100.0;75.0;75.0;62.0;100.0;100.0;62.0;100.0
1080040.0;4;3612.90332;533677.4375;0.22;884468;1656792;29;2.0;15;75;88;25;100;100;75;100;88;62;100.0;75;75.0;100.0;100.0;75.0;75.0;62;75;100;88;62.0;100.0;100;62;100.0;75.0;62.0;75.0;100.0;100.0;62.0;100.0
1080040.0;4;3862.068848;285241.375;0.22;884468;1656792;29;2.0;15;75;87;62;100;100;75;62;100;75;100.0;75;62.0;100.0;100.0;62.0;75.0;75;75;100;75;49.0;100.0;100;87;100.0;75.0;62.0;100.0;37.0;75.0;62.0;100.0
1080040.0;4;3733.333252;551466.6875;0.22;884468;1656792;29;2.0;15;75;62;75;100;100;88;88;75;75;88.0;62;75.0;88.0;100.0;75.0;75.0;62;75;100;75;100.0;100.0;62;75;100.0;75.0;75.0;100.0;62.0;62.0;62.0;100.0
1080040.0;4;4869.56543;359652.1875;0.22;884468;1656792;29;2.0;15;75;75;62;100;87;75;87;75;75;100.0;75;100.0;100.0;100.0;62.0;75.0;62;100;100;75;49.0;100.0;62;75;100.0;87.0;62.0;75.0;62.0;87.0;75.0;100.0
1080040.0;4;5333.333496;393904.75;0.22;884468;1656792;29;2.3;15;75;88;75;88;75;75;100;88;50;100.0;75;100.0;100.0;75.0;75.0;88.0;75;100;100;75;75.0;100.0;75;62;100.0;75.0;62.0;75.0;62.0;62.0;62.0;100.0
1080040.0;4;1866.666626;275733.34375;0.22;884468;1656792;29;2.0;15;62;88;50;100;75;75;100;75;50;100.0;62;100.0;100.0;88.0;75.0;62.0;62;100;100;75;62.0;100.0;62;75;100.0;75.0;62.0;75.0;62.0;75.0;62.0;100.0
1080040.0;4;5419.35498;266838.71875;0.22;884468;1656792;29;2.0;15;75;75;87;100;75;75;100;75;87;87.0;75;75.0;100.0;75.0;100.0;75.0;100;100;100;75;75.0;87.0;62;75;100.0;100.0;75.0;75.0;87.0;87.0;75.0;100.0
1080040.0;4;3612.90332;266838.71875;0.22;884468;1656792;29;2.4;15;87;87;75;100;75;87;87;87;75;75.0;75;87.0;100.0;87.0;100.0;62.0;100;87;100;75;75.0;87.0;87;62;100.0;75.0;62.0;75.0;75.0;100.0;75.0;100.0
1080040.0;4;1750.0;129250.0;0.22;884468;1656792;29;2.0;15;75;88;75;62;75;38;88;62;75;75.0;75;75.0;88.0;75.0;100.0;100.0;100;88;100;62;62.0;100.0;75;75;100.0;88.0;75.0;62.0;75.0;100.0;88.0;100.0
1080040.0;4;5250.0;258500.0;0.22;884468;1656792;29;2.0;15;75;75;62;100;75;62;75;75;87;75.0;75;75.0;87.0;62.0;100.0;100.0;75;62;100;87;75.0;100.0;62;62;100.0;100.0;62.0;75.0;75.0;100.0;100.0;100.0
