time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15;cpu_16;cpu_17;cpu_18;cpu_19;cpu_20;cpu_21;cpu_22;cpu_23;cpu_24;cpu_25;cpu_26;cpu_27;cpu_28;cpu_29;cpu_30;cpu_31
1080000.0;5;0.0;752000.0;0.45;884660;1656808;89;1.6;15;100;100;100;88.0;100;88;100;100;100;88;100;100;100;88;88;88;88;88;100;88;88;88;100;100;100;88;100;75;100;88.0;100;100
1080000.0;5;4000.0;590857.125;0.45;884660;1656808;89;1.6;15;100;100;100;87.0;100;87;100;100;100;100;100;75;100;87;100;75;100;100;100;87;100;87;100;100;100;75;100;87;100;87.0;75;75
1080000.0;5;9333.333008;1723333.25;0.45;884660;1656808;89;0.79;15;100;87;100;100.0;100;87;100;87;100;87;100;100;100;87;87;87;100;87;100;87;87;75;100;87;100;100;100;75;100;87.0;100;75
1080000.0;5;7466.666504;551466.6875;0.45;884660;1656808;89;1.2;15;100;87;100;87.0;100;87;100;100;87;87;87;75;100;100;100;87;100;100;100;87;100;87;100;100;100;75;100;75;87;87.0;100;75
1080000.0;5;0.0;689333.3125;0.45;884660;1656808;89;1.2;15;100;100;100;100.0;100;88;100;100;100;88;100;88;100;88;100;88;100;88;100;100;100;75;100;100;100;100;100;88;100;88.0;88;88
1080000.0;5;7466.666504;1378666.75;0.45;884660;1656808;89;1.2;15;100;100;100;87.0;100;87;87;100;100;87;100;87;100;87;87;75;100;87;100;87;100;100;100;87;100;75;87;75;87;75.0;100;75
1080000.0;5;5600.0;413600.0;0.45;884660;1656808;89;1.2;15;100;88;100;100.0;100;100;88;100;100;88;100;88;88;100;100;88;100;100;88;88;100;75;100;100;88;88;88;88;100;100.0;88;88
1080010.0;5;8000.0;1181714.25;0.45;884660;1656808;89;1.9;15;88;100;100;100.0;100;88;100;100;100;88;88;88;100;88;100;88;100;75;100;100;100;100;100;100;100;75;100;75;88;88.0;100;100
1080010.0;5;0.0;689333.3125;0.45;884660;1656808;89;0.8;15;100;87;100;100.0;87;87;87;87;100;87;100;87;87;87;87;87;87;100;87;87;87;100;100;100;100;87;87;74;87;87.0;87;87
1080010.0;5;10500.0;1034000.0;0.45;884660;1656808;89;2.0;15;100;100;100;87.0;100;87;100;87;87;87;100;87;87;87;87;100;87;87;100;87;100;100;87;87;100;87;100;75;100;87.0;100;100
1080010.0;5;6222.222168;919111.0625;0.45;884660;1656808;89;1.6;15;88;88;88;88.0;100;88;100;88;100;88;100;88;88;88;100;88;100;88;100;88;100;75;100;75;88;88;100;75;88;88.0;88;88
1080010.0;5;0.0;775500.0;0.45;884660;1656808;89;0.79;15;100;75;100;87.0;100;87;100;87;100;100;100;87;87;87;100;100;100;75;100;87;100;87;100;75;100;75;100;87;87;75.0;87;100
1080010.0;5;10500.0;775500.0;0.45;884660;1656808;89;1.6;15;100;100;100;100.0;87;100;100;87;100;87;100;100;100;87;100;87;100;100;100;87;100;87;100;87;100;87;100;87;100;75.0;100;75
1080010.0;5;9333.333008;1378666.625;0.45;884660;1656808;89;1.2;15;100;100;100;100.0;100;100;88;100;100;88;100;88;100;100;100;88;100;100;100;100;100;100;88;88;100;75;100;88;100;100.0;100;88
1080010.0;5;0.0;590857.125;0.45;884660;1656808;89;1.2;15;100;88;100;88.0;100;88;88;88;100;88;100;88;88;100;88;100;100;100;100;88;100;88;62;88;88;75;100;88;88;100.0;88;88
1080010.0;5;0.0;1034000.0;0.45;884660;1656808;89;1.2;15;100;100;100;100.0;100;100;88;88;88;88;88;88;100;75;88;88;100;100;88;88;100;88;88;88;100;75;88;75;100;100.0;100;88
1080020.0;5;5600.0;827200.0;0.45;884660;1656808;89;0.79;15;100;87;87;87.0;87;75;100;100;100;75;100;87;100;87;100;100;100;87;87;75;100;75;100;87;100;75;100;75;87;87.0;100;87
1080020.0;5;12923.077148;1068307.75;0.45;884660;1656808;89;1.2;15;100;100;100;88.0;100;100;100;100;100;100;88;88;100;88;100;100;100;100;88;88;100;88;88;100;100;62;100;88;100;88.0;100;88
1080020.0;5;4000.0;1385714.375;0.45;884660;1656808;89;1.2;15;88;88;88;100.0;100;88;100;75;100;75;100;88;100;88;100;88;100;88;100;75;88;88;100;88;100;88;100;88;100;100.0;100;88
1080020.0;5;0.0;886285.6875;0.45;884660;1656808;89;1.2;15;100;100;100;87.0;100;100;87;100;100;100;100;87;100;87;100;87;100;87;100;87;100;87;75;75;100;75;100;75;100;100.0;87;87
1080020.0;5;5090.90918;752000.0;0.45;884660;1656808;89;1.5;15;100;100;100;88.0;100;100;100;75;88;75;100;88;100;88;75;88;100;88;88;88;100;88;88;88;88;88;88;75;100;75.0;75;88
1080020.0;5;9333.333008;1148888.875;0.45;884660;1656808;89;0.8;15;100;87;100;87.0;87;87;100;100;100;87;100;100;100;87;87;87;74;100;100;74;87;100;87;74;100;74;100;100;87;87.0;74;87
1080020.0;5;3500.0;1034000.0;0.45;884660;1656808;89;1.6;15;100;100;100;87.0;100;100;87;87;100;87;100;87;87;87;87;87;100;87;100;100;87;75;100;100;87;75;100;75;87;100.0;75;75
1080020.0;5;4000.0;590857.125;0.45;884660;1656808;89;1.2;15;100;87;100;100.0;100;75;87;87;100;100;87;87;100;87;100;75;100;87;87;75;100;87;75;87;100;87;100;87;100;87.0;100;62
1080020.0;5;11200.0;551466.6875;0.45;884660;1656808;89;1.6;15;100;100;88;88.0;100;100;100;100;100;100;100;88;100;100;100;88;100;88;88;88;100;88;75;100;100;75;100;88;100;100.0;100;88
1080020.0;5;5090.90918;1128000.0;0.45;884660;1656808;89;1.2;15;100;87;100;100.0;100;87;100;87;100;87;100;87;87;100;100;87;100;87;100;87;100;87;100;87;100;100;100;75;100;87.0;100;100
1080020.0;5;0.0;827200.0;0.45;884660;1656808;89;1.2;15;100;88;100;88.0;75;88;100;100;100;88;100;75;100;100;100;100;100;100;75;100;100;88;100;100;100;75;100;62;100;100.0;100;100
1080030.0;5;4000.0;590857.125;0.45;884660;1656808;89;1.6;15;100;100;87;100.0;75;100;100;100;100;87;100;87;100;100;100;87;100;100;100;87;100;100;100;87;100;87;100;87;100;87.0;100;87
1080030.0;5;11200.0;1102933.375;0.45;884660;1656808;89;1.2;15;88;100;88;88.0;88;100;100;88;88;88;100;88;100;88;100;88;100;88;88;100;100;100;100;100;100;75;100;75;100;88.0;88;88
1080030.0;5;4307.692383;975384.625;0.45;884660;1656808;89;1.2;15;100;87;87;87.0;100;87;100;100;100;100;100;75;100;87;100;87;87;87;100;100;100;100;100;100;100;100;100;75;100;87.0;100;75
