time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15;cpu_16;cpu_17;cpu_18;cpu_19;cpu_20;cpu_21;cpu_22;cpu_23;cpu_24;cpu_25;cpu_26;cpu_27;cpu_28;cpu_29;cpu_30;cpu_31
1080000.0;5;5090.90918;1128000.0;0.22;884420;1656652;72;1.2;15;75;75;87;75;87;75;100;100;62.0;75;75.0;62.0;75.0;75.0;100.0;87.0;75.0;75;62;75;62.0;62;49.0;62;100.0;62.0;62.0;100.0;62.0;100.0;87.0;62.0
1080000.0;5;2333.333252;689333.3125;0.22;884420;1656652;72;2.0;15;87;87;100;75;87;75;100;75;100.0;75;75.0;49.0;87.0;75.0;87.0;87.0;100.0;62;87;75;100.0;62;75.0;62;75.0;62.0;100.0;100.0;75.0;62.0;100.0;49.0
1080000.0;5;26962.962891;944000.0;0.22;884420;1656652;72;1.6;15;87;75;100;75;87;75;87;75;87.0;87;75.0;49.0;62.0;87.0;100.0;62.0;62.0;75;49;62;75.0;62;87.0;62;75.0;62.0;75.0;100.0;62.0;62.0;100.0;62.0
1080000.0;5;500615.375;477230.78125;0.22;884420;1656652;72;2.0;15;75;75;100;75;88;75;75;75;75.0;88;75.0;50.0;75.0;75.0;100.0;88.0;62.0;62;75;62;88.0;62;88.0;75;50.0;62.0;75.0;100.0;62.0;62.0;100.0;62.0
1080000.0;5;7724.138184;855724.125;0.22;884420;1656652;72;1.6;15;75;87;100;75;87;75;75;75;87.0;75;75.0;62.0;87.0;75.0;100.0;75.0;62.0;75;49;75;87.0;62;62.0;75;62.0;75.0;75.0;100.0;49.0;62.0;100.0;49.0
1080000.0;5;619809.5625;393904.75;0.22;884420;1656652;72;2.0;15;100;75;100;75;75;75;100;87;75.0;75;87.0;24.0;87.0;87.0;100.0;75.0;75.0;62;62;62;100.0;62;75.0;62;75.0;75.0;62.0;100.0;62.0;62.0;100.0;62.0
1080000.0;5;6222.222168;869333.3125;0.22;884420;1656652;72;1.6;15;75;88;88;75;88;75;75;75;100.0;88;75.0;50.0;75.0;75.0;100.0;62.0;88.0;75;88;62;75.0;62;88.0;62;88.0;50.0;88.0;100.0;88.0;50.0;100.0;75.0
1080010.0;5;4869.56543;1043130.4375;0.22;884420;1656652;72;1.6;15;88;75;88;62;100;75;75;75;100.0;75;88.0;62.0;75.0;75.0;100.0;75.0;62.0;75;75;75;75.0;62;100.0;75;88.0;62.0;100.0;100.0;88.0;75.0;100.0;75.0
1080010.0;5;471200.0;551466.6875;0.22;884420;1656652;72;2.4;15;87;87;75;75;100;87;75;75;87.0;75;62.0;49.0;62.0;75.0;100.0;75.0;87.0;62;75;75;49.0;62;62.0;62;62.0;62.0;87.0;100.0;75.0;62.0;100.0;75.0
1080010.0;5;22736.839844;665052.625;0.22;884420;1656652;72;2.0;15;100;75;75;88;100;75;100;75;75.0;75;88.0;75.0;100.0;75.0;100.0;75.0;62.0;62;75;75;88.0;62;100.0;62;75.0;62.0;88.0;100.0;88.0;62.0;100.0;62.0
