timestamp,gnb,fivegs_amffunction_mm_confupdate_total,fivegs_amffunction_rm_reginitreq_total,fivegs_amffunction_rm_regemergreq_total,fivegs_amffunction_mm_paging5greq_total,fivegs_amffunction_rm_regperiodreq_total,fivegs_amffunction_mm_confupdatesucc_total,fivegs_amffunction_rm_reginitsucc_total,fivegs_amffunction_amf_authreject_total,fivegs_amffunction_rm_regmobreq_total,amf_session,fivegs_amffunction_rm_regmobsucc_total,fivegs_amffunction_amf_authreq_total,fivegs_amffunction_rm_regemergsucc_total,fivegs_amffunction_mm_paging5gsucc_total,ran_ue,fivegs_amffunction_rm_regperiodsucc_total,"fivegs_amffunction_rm_registeredsubnbr{plmnid=""00101"",snssai=""1""}",process_max_fds,process_virtual_memory_max_bytes,process_cpu_seconds_total,process_virtual_memory_bytes,process_resident_memory_bytes,process_start_time_seconds,process_open_fds
2025-11-14 11:00:00.207999945,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:00.516000032,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:00.836999893,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:01.111000061,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:01.410000086,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:01.711999893,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:02.013999939,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:02.309999943,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:02.611000061,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:02.924999952,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:03.252000092,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:03.522000074,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:03.816999912,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:04.115000010,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:04.414999962,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:04.719000101,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:05.013999939,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:05.323999882,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:05.612999916,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:05.911999941,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:06.211999893,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:06.515000105,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:06.812000036,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:07.131999969,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:07.424999952,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:07.714999914,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:08.032000065,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:08.311000109,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:08.608999968,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:08.921000004,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:09.223999977,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:09.519000052,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:09.822000027,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:10.115999937,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:10.417000055,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:10.710000038,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:11.016000032,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:11.315000057,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:11.614000082,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:11.915999889,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:12.213000059,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:12.513000011,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:12.813999891,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:13.115999937,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
2025-11-14 11:00:13.420000076,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2078,1847222272,234000384,222411,30
