timestamp,gn_rx_createpdpcontextreq_total,gn_rx_deletepdpcontextreq_total,gtp1_pdpctxs_active,fivegs_smffunction_sm_n4sessionreport_total,ues_active,gtp2_sessions_active,s5c_rx_createsession_total,s5c_rx_deletesession_total,gtp_new_node_failed_total,s5c_rx_parse_failed_total,fivegs_smffunction_sm_n4sessionreportsucc_total,fivegs_smffunction_sm_n4sessionestabreq_total,bearers_active,gn_rx_parse_failed_total,gtp_peers_active,"fivegs_smffunction_sm_sessionnbr{plmnid=""00101"",snssai=""1""}","fivegs_smffunction_sm_pdusessioncreationreq_total{plmnid="""",snssai=""""}","fivegs_smffunction_sm_pdusessioncreationreq_total{plmnid=""00101"",snssai=""1""}","fivegs_smffunction_sm_pdusessioncreationsucc_total{plmnid=""00101"",snssai=""1""}","fivegs_smffunction_sm_qos_flow_nbr{plmnid=""00101"",snssai=""1"",fiveqi=""9""}",process_max_fds,process_virtual_memory_max_bytes,process_cpu_seconds_total,process_virtual_memory_bytes,process_resident_memory_bytes,process_start_time_seconds,process_open_fds
2025-11-14 11:00:00.124000072,0,0,0,2205,65,0,0,0,0,0,2205,0,65,0,0,65,69,69,69,69,1048576,-1,3001,3121426432,73990144,196859,25
2025-11-14 11:00:00.423000097,0,0,0,2205,65,0,0,0,0,0,2205,0,65,0,0,65,69,69,69,69,1048576,-1,3001,3121426432,73990144,196859,25
2025-11-14 11:00:00.721999884,0,0,0,2205,65,0,0,0,0,0,2205,0,65,0,0,65,69,69,69,69,1048576,-1,3001,3121426432,73990144,196859,25
2025-11-14 11:00:01.023000002,0,0,0,2205,65,0,0,0,0,0,2205,0,65,0,0,65,69,69,69,69,1048576,-1,3001,3121426432,73990144,196859,25
2025-11-14 11:00:01.322000027,0,0,0,2205,65,0,0,0,0,0,2205,0,65,0,0,65,69,69,69,69,1048576,-1,3001,3121426432,73990144,196859,25
2025-11-14 11:00:01.634999990,0,0,0,2205,65,0,0,0,0,0,2205,0,65,0,0,65,69,69,69,69,1048576,-1,3001,3121426432,73990144,196859,25
2025-11-14 11:00:01.924000025,0,0,0,2205,65,0,0,0,0,0,2205,0,65,0,0,65,69,69,69,69,1048576,-1,3001,3121426432,73990144,196859,25
2025-11-14 11:00:02.227999926,0,0,0,2205,65,0,0,0,0,0,2205,0,65,0,0,65,69,69,69,69,1048576,-1,3001,3121426432,73990144,196859,25
2025-11-14 11:00:02.522000074,0,0,0,2205,65,0,0,0,0,0,2205,0,65,0,0,65,69,69,69,69,1048576,-1,3001,3121426432,73990144,196859,25
2025-11-14 11:00:02.825000048,0,0,0,2205,65,0,0,0,0,0,2205,0,65,0,0,65,69,69,69,69,1048576,-1,3001,3121426432,73990144,196859,25
2025-11-14 11:00:03.137000084,0,0,0,2205,65,0,0,0,0,0,2205,0,65,0,0,65,69,69,69,69,1048576,-1,3001,3121426432,73990144,196859,25
2025-11-14 11:00:03.436000109,0,0,0,2205,65,0,0,0,0,0,2205,0,65,0,0,65,69,69,69,69,1048576,-1,3001,3121426432,73990144,196859,25
