timestamp,fivegs_ep_n3_gtp_indatapktn3upf_total,fivegs_ep_n3_gtp_outdatapktn3upf_total,fivegs_upffunction_sm_n4sessionestabreq_total,fivegs_upffunction_sm_n4sessionreport_total,fivegs_upffunction_sm_n4sessionreportsucc_total,fivegs_upffunction_upf_sessionnbr,"fivegs_upffunction_upf_qosflows{dnn=""internet""}",process_max_fds,process_virtual_memory_max_bytes,process_cpu_seconds_total,process_virtual_memory_bytes,process_resident_memory_bytes,process_start_time_seconds,process_open_fds
2025-11-14 11:00:00.194000006,0,0,69,2205,2205,65,65,1048576,-1,67308,288829440,35618816,178917,12
2025-11-14 11:00:00.493000031,0,0,69,2205,2205,65,65,1048576,-1,67308,288829440,35618816,178917,12
2025-11-14 11:00:00.785000086,0,0,69,2205,2205,65,65,1048576,-1,67308,288829440,35618816,178917,12
2025-11-14 11:00:01.082000017,0,0,69,2205,2205,65,65,1048576,-1,67308,288829440,35618816,178917,12
2025-11-14 11:00:01.372999907,0,0,69,2205,2205,65,65,1048576,-1,67309,288829440,35618816,178917,12
2025-11-14 11:00:01.670000076,0,0,69,2205,2205,65,65,1048576,-1,67309,288829440,35618816,178917,12
2025-11-14 11:00:01.987999916,0,0,69,2205,2205,65,65,1048576,-1,67309,288829440,35618816,178917,12
2025-11-14 11:00:02.279999971,0,0,69,2205,2205,65,65,1048576,-1,67309,288829440,35618816,178917,12
2025-11-14 11:00:02.575999975,0,0,69,2205,2205,65,65,1048576,-1,67309,288829440,35618816,178917,12
2025-11-14 11:00:02.874000072,0,0,69,2205,2205,65,65,1048576,-1,67309,288829440,35618816,178917,12
2025-11-14 11:00:03.173000097,0,0,69,2205,2205,65,65,1048576,-1,67309,288829440,35618816,178917,12
2025-11-14 11:00:03.490999937,0,0,69,2205,2205,65,65,1048576,-1,67309,288829440,35618816,178917,12
2025-11-14 11:00:03.785000086,0,0,69,2205,2205,65,65,1048576,-1,67309,288829440,35618816,178917,12
2025-11-14 11:00:04.075999975,0,0,69,2205,2205,65,65,1048576,-1,67309,288829440,35618816,178917,12
2025-11-14 11:00:04.395999908,0,0,69,2205,2205,65,65,1048576,-1,67309,288829440,35618816,178917,12
2025-11-14 11:00:04.690999985,0,0,69,2205,2205,65,65,1048576,-1,67309,288829440,35618816,178917,12
2025-11-14 11:00:04.979000092,0,0,69,2205,2205,65,65,1048576,-1,67309,288829440,35618816,178917,12
2025-11-14 11:00:05.289000034,0,0,69,2205,2205,65,65,1048576,-1,67309,288829440,35618816,178917,12
2025-11-14 11:00:05.578999996,0,0,69,2205,2205,65,65,1048576,-1,67309,288829440,35618816,178917,12
2025-11-14 11:00:05.878999949,0,0,69,2205,2205,65,65,1048576,-1,67309,288829440,35618816,178917,12
2025-11-14 11:00:06.184000015,0,0,69,2205,2205,65,65,1048576,-1,67309,288829440,35618816,178917,12
2025-11-14 11:00:06.484999895,0,0,69,2205,2205,65,65,1048576,-1,67309,288829440,35618816,178917,12
2025-11-14 11:00:06.775000095,0,0,69,2205,2205,65,65,1048576,-1,67309,288829440,35618816,178917,12
