time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15;cpu_16;cpu_17;cpu_18;cpu_19;cpu_20;cpu_21;cpu_22;cpu_23;cpu_24;cpu_25;cpu_26;cpu_27;cpu_28;cpu_29;cpu_30;cpu_31
813600325;0;368500;1;34;0.0;-0.0000034;n/a;n/a;n/a;27;70;1.0;98692.679688;0;0.0;0.0;0.0;28;0.0;215882.921875;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.2;16;80;86;82;85;83;79;85;74;89;91;87;81;81;81;82;93;83;84;77;91;84;81;85;81;90;88;88;76;74;82;83;91
813601324;0;368500;1;36;0.0;-0.000011;n/a;n/a;n/a;27;inf;1.0;306810.812500;0;0.0;0.0;0.0;28;58;174054.046875;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;82;81;79;90;82;86;74;89;88;78;74;89;79;87;74;87;83;82;78;86;82;86;76;86;89;82;73;86;77;84;70;87
813602322;0;368500;1;35;0.0;-0.000022;n/a;n/a;n/a;27;inf;1.0;83236.367188;0;0.0;0.0;0.0;28;58;149018.187500;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;80;87;91;89;84;83;81;89;78;83;78;86;80;76;82;83;82;89;86;89;83;82;85;94;78;82;81;83;83;71;83;84
813603321;0;368500;1;36;0.0;-0.0000034;n/a;n/a;n/a;27;64;1.0;23703.703125;0;0.0;0.0;0.0;28;58;160724.281250;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;75;81;88;87;78;88;86;81;86;90;78;93;78;80;83;89;78;82;91;88;79;87;82;83;78;80;78;86;76;80;82;90
813604319;0;368500;1;36;0.0;-0.0000031;n/a;n/a;n/a;27;64;1.0;114857.140625;0;0.0;0.0;0.0;28;58;177112.781250;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.4;16;77;82;81;82;91;87;86;89;77;83;81;80;75;93;89;80;78;75;83;86;83;82;89;85;77;84;79;84;76;91;94;81
813605316;0;368500;1;36;0.0;-0.0000015;n/a;n/a;n/a;27;70;1.0;24625.000000;0;0.0;0.0;0.0;28;0.0;178562.500000;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.4;16;72;83;89;89;85;92;84;77;75;89;80;80;83;86;82;84;77;76;92;84;87;84;81;77;79;88;82;82;82;83;83;88
813606313;0;368500;1;36;0.0;-0.000014;n/a;n/a;n/a;27;inf;1.0;184058.828125;0;0.0;0.0;0.0;28;0.0;139176.468750;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.4;16;79;83;87;65;83;93;86;87;90;85;73;78;83;76;86;87;81;77;85;83;86;88;91;84;92;84;76;88;82;81;85;83
813607311;0;368500;1;34;0.0;-0.000025;n/a;n/a;n/a;27;63;1.1;131897.437500;0;0.0;0.0;0.0;28;0.0;192239.312500;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;87;81;82;72;81;88;82;80;76;91;84;90;89;90;88;87;87;85;83;73;77;80;82;81;75;89;81;89;84;83;84;87
813608310;0;368500;1;36;0.0;-0.000029;n/a;n/a;n/a;27;70;1.0;26155.251953;0;0.0;0.0;0.0;28;0.0;126867.578125;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.2;16;84;86;80;81;77;81;86;83;89;91;82;94;85;80;89;66;81;79;77;85;79;80;85;85;83;91;83;90;83;85;84;79
813609306;0;368500;1;36;0.0;-0.000026;n/a;n/a;n/a;27;63;1.1;119462.453125;0;0.0;0.0;0.0;28;58;126924.898438;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.4;16;81;92;83;86;91;85;80;83;82;87;81;86;87;84;84;83;79;94;73;86;92;74;78;83;82;87;85;88;89;85;85;84
813610304;0;368500;1;37;0.0;-0.0000099;n/a;n/a;n/a;27;70;1.0;22755.554688;0;0.0;0.0;0.0;28;0.0;181226.671875;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;77;88;79;88;86;83;92;83;90;84;86;85;81;89;81;90;81;92;73;84;85;79;86;81;84;83;85;87;82;89;73;86
813611301;0;368500;1;35;0.0;-0.0000057;n/a;n/a;n/a;27;70;1.0;157099.609375;0;0.0;0.0;0.0;28;0.0;165258.968750;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.4;16;75;83;81;84;93;93;90;92;76;81;87;83;78;85;84;85;81;78;82;79;91;89;91;92;82;85;89;83;80;89;72;83
813612299;0;368500;1;37;0.0;0.0000025;n/a;n/a;n/a;27;64;1.1;67055.117188;0;0.0;0.0;0.0;28;0.0;154834.640625;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;84;91;86;75;83;85;77;86;84;84;83;82;78;84;86;80;86;92;82;90;78;84;78;81;86;85;79;84;77;86;88;76
813613294;0;368500;1;37;0.0;-0.0000071;n/a;n/a;n/a;27;70;1.0;25702.810547;0;0.0;0.0;0.0;28;0.0;152289.156250;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;88;86;89;86;80;87;79;86;85;88;84;85;86;80;81;78;87;85;83;84;83;87;84;84;85;90;81;85;88;78;81;74
813614291;0;368500;1;37;0.0;-0.0000062;n/a;n/a;n/a;27;64;1.1;109977.695312;0;0.0;0.0;0.0;28;0.0;146141.265625;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.4;16;74;93;90;86;86;80;86;79;71;81;80;83;84;84;84;87;81;89;92;87;87;83;84;80;80;80;82;83;83;86;82;86
813615290;0;368500;1;38;0.0;-0.000011;n/a;n/a;n/a;27;inf;1.0;19248.121094;0;0.0;0.0;0.0;28;58;135879.703125;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.4;16;78;91;78;81;93;81;80;83;83;87;90;81;87;73;79;94;79;89;82;84;94;81;82;82;86;88;90;80;79;81;81;90
813616289;0;368500;1;34;0.0;-0.0000095;n/a;n/a;n/a;27;inf;1.1;250809.921875;0;0.0;0.0;0.0;28;0.0;183305.781250;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;72;89;85;81;78;85;75;84;76;88;88;85;78;75;83;87;76;88;79;86;76;92;83;81;76;86;81;87;81;81;81;89
813617279;0;368500;1;36;0.0;-0.0000056;n/a;n/a;n/a;27;70;1.0;81750.000000;0;0.0;0.0;0.0;28;0.0;175607.140625;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;88;78;86;86;86;84;82;84;87;93;82;88;75;79;81;86;92;81;81;88;87;84;79;78;82;89;87;92;80;82;70;84
813618278;0;368500;1;37;0.0;-0.0000042;n/a;n/a;n/a;27;70;1.0;19248.121094;0;0.0;0.0;0.0;28;0.0;134045.109375;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;87;80;76;87;80;88;82;92;78;85;79;83;87;74;88;87;85;92;81;89;79;81;80;89;79;78;83;81;81;78;85;85
813619276;0;368500;1;36;0.0;-0.0000032;n/a;n/a;n/a;27;inf;1.0;77684.210938;0;0.0;0.0;0.0;28;0.0;193614.031250;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;86;89;88;87;80;77;82;91;77;76;78;80;86;91;90;85;85;85;84;85;79;80;85;91;81;77;66;81;88;84;92;89
813620274;0;368500;1;37;0.0;-0.0000074;n/a;n/a;n/a;27;inf;1.0;24150.943359;0;0.0;0.0;0.0;28;0.0;150973.578125;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.4;16;87;94;80;88;76;88;86;81;89;89;83;78;83;76;77;83;88;90;79;86;78;92;92;84;90;89;74;75;80;74;78;87
813621272;0;368500;1;37;0.0;-0.00000089;n/a;n/a;n/a;27;66;1.1;198942.156250;0;0.0;0.0;0.0;28;0.0;176694.218750;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;81;86;78;86;75;83;85;87;77;89;86;85;84;85;93;83;80;84;76;82;76;85;79;83;79;85;86;85;82;90;85;85
813622269;0;368500;1;32;0.0;-0.000021;n/a;n/a;n/a;27;inf;1.0;1494562.250000;0;0.0;0.0;0.0;28;0.0;157640.546875;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.4;16;89;81;88;82;70;91;80;80;83;88;82;81;79;88;89;83;92;82;84;79;79;86;81;82;82;86;80;84;79;93;81;82
813623266;0;368500;1;36;0.0;-0.000021;n/a;n/a;n/a;27;64;1.0;23475.410156;0;0.0;0.0;0.0;28;58;143245.906250;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;86;88;78;82;78;85;78;90;88;77;89;81;84;87;83;83;81;87;77;88;81;84;82;94;84;80;86;78;82;83;89;78
813624263;0;368500;1;36;0.0;-0.000024;n/a;n/a;n/a;27;63;1.0;70283.398438;0;0.0;0.0;0.0;28;0.0;162137.656250;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;92;93;83;82;80;86;78;82;83;82;84;89;83;90;87;81;84;92;81;86;81;88;83;80;84;80;80;86;82;85;88;84
813625262;0;368500;1;37;0.0;-0.000024;n/a;n/a;n/a;27;70;1.0;20157.480469;0;0.0;0.0;0.0;28;0.0;139653.546875;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.4;16;77;83;79;86;83;87;88;89;82;89;74;92;85;88;87;87;80;84;79;83;84;85;81;85;85;85;73;86;83;83;83;88
813626261;0;368500;1;35;0.0;-0.000029;n/a;n/a;n/a;27;inf;1.1;168385.187500;0;0.0;0.0;0.0;28;0.0;169777.781250;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.4;16;79;86;81;88;82;85;81;91;90;78;83;91;79;79;80;91;83;80;76;86;84;84;81;87;91;76;80;89;78;82;78;89
813627260;0;368500;1;36;0.0;-0.000020;n/a;n/a;n/a;27;63;1.1;72476.593750;0;0.0;0.0;0.0;28;0.0;152068.078125;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;85;83;80;84;78;94;84;88;80;81;88;81;80;79;81;75;88;86;84;83;79;92;88;83;87;81;86;89;81;79;85;79
813628258;0;368500;1;36;0.0;-0.0000028;n/a;n/a;n/a;27;63;1.0;24303.796875;0;0.0;0.0;0.0;28;58;147611.812500;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;84;91;86;83;80;89;85;89;89;74;84;86;83;79;87;87;86;89;86;80;82;95;87;86;88;82;86;88;85;81;83;82
813629256;0;368500;1;36;0.0;-0.000016;n/a;n/a;n/a;27;64;1.0;131855.859375;0;0.0;0.0;0.0;28;365;182918.921875;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;72;82;86;88;90;78;81;80;88;83;84;93;81;81;82;87;79;81;82;90;92;78;80;87;81;82;84;93;80;81;83;87
813630255;0;368500;1;36;0.0;-0.000023;n/a;n/a;n/a;27;64;1.0;26314.048828;0;0.0;0.0;0.0;28;0.0;176198.343750;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;69;88;85;72;81;95;83;77;81;83;83;94;87;79;91;61;78;88;84;82;78;94;90;78;78;85;83;94;91;78;89;80
813631253;0;368500;1;35;0.0;-0.000018;n/a;n/a;n/a;27;63;1.0;153413.796875;0;0.0;0.0;0.0;28;58;166137.937500;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;91;84;90;80;86;79;88;83;88;81;88;76;89;88;90;69;89;83;91;80;85;75;84;83;90;80;86;56;84;81;87;80
813632252;0;368500;1;36;0.0;-0.000011;n/a;n/a;n/a;27;inf;1.1;76172.414062;0;0.0;0.0;0.0;28;0.0;187103.453125;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;86;82;88;86;86;86;89;80;86;81;86;77;84;87;88;87;85;82;84;84;81;90;89;86;86;81;86;68;85;90;88;81
813633249;0;368500;1;36;0.0;-0.0000033;n/a;n/a;n/a;27;70;1.0;24168.777344;0;0.0;0.0;0.0;28;58;159223.625000;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;91;83;93;73;83;82;84;88;87;82;86;88;84;86;85;77;89;80;89;75;85;79;88;87;82;73;89;86;87;84;81;80
813634246;0;368500;1;38;0.0;-0.0000083;n/a;n/a;n/a;27;inf;1.1;69803.281250;0;0.0;0.0;0.0;28;0.0;167606.562500;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;88;83;86;68;89;80;87;77;89;80;89;80;90;88;87;75;89;63;88;79;89;78;85;83;89;86;92;73;86;87;87;77
813635244;0;368500;1;34;0.0;-0.0000017;n/a;n/a;n/a;27;70;1.0;35887.851562;0;0.0;0.0;0.0;28;0.0;187102.796875;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.2;16;70;84;90;82;85;81;84;85;87;78;84;84;87;72;91;86;82;83;96;84;83;81;79;88;86;83;89;83;86;81;91;86
813636242;0;368500;1;35;0.0;0.00000035;n/a;n/a;n/a;27;70;1.0;153936.515625;0;0.0;0.0;0.0;28;0.0;161333.328125;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.4;16;88;88;89;77;89;80;91;80;87;84;84;75;89;87;84;80;88;91;85;77;87;79;88;73;88;84;82;83;87;80;81;77
813637241;0;368500;1;37;0.0;-0.0000037;n/a;n/a;n/a;27;70;1.1;65007.632812;0;0.0;0.0;0.0;28;0.0;149801.531250;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.4;16;87;79;85;79;82;78;90;81;93;80;87;82;86;88;85;85;91;81;81;75;83;82;92;75;89;81;92;89;88;87;79;83
813638238;0;368500;1;38;0.0;-0.0000069;n/a;n/a;n/a;27;inf;1.0;17777.777344;0;0.0;0.0;0.0;28;0.0;149873.015625;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;88;84;87;64;87;84;85;84;89;86;87;85;92;77;83;85;89;83;83;75;86;82;80;80;89;82;85;85;86;79;84;84
813639236;0;368500;1;35;0.0;-0.0000021;n/a;n/a;n/a;27;inf;1.0;77991.632812;0;0.0;0.0;0.0;28;0.0;163748.953125;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;83;77;92;71;90;83;95;83;82;83;92;87;83;77;85;85;89;81;87;80;91;83;90;84;90;84;88;85;86;79;89;84
813640234;0;368500;1;37;0.0;-0.0000058;n/a;n/a;n/a;27;65;1.0;20398.406250;0;0.0;0.0;0.0;28;58;142183.265625;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;87;90;84;89;83;84;83;78;84;83;91;81;85;75;81;82;88;86;79;84;86;83;85;79;86;81;89;88;82;81;82;83
813641233;0;368500;1;36;0.0;-0.0000054;n/a;n/a;n/a;27;70;1.0;150204.718750;0;0.0;0.0;0.0;28;0.0;162992.125000;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.4;16;73;83;81;84;87;86;86;79;86;87;85;86;84;92;83;87;80;84;79;86;86;91;87;76;88;87;88;75;86;85;85;87
813642228;0;368500;1;36;0.0;-0.0000027;n/a;n/a;n/a;27;70;1.0;69483.867188;0;0.0;0.0;0.0;28;119;123516.132812;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;82;82;80;87;81;86;82;82;89;84;87;87;88;86;80;82;88;80;80;84;84;83;85;85;85;90;85;86;88;84;83;83
813643226;0;368500;1;34;0.0;-0.000015;n/a;n/a;n/a;27;64;1.0;86362.789062;0;0.0;0.0;0.0;28;0.0;179348.843750;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;82;85;82;80;86;90;87;87;85;78;90;89;91;82;84;87;86;83;84;79;88;86;83;93;87;85;87;94;86;80;78;89
813644225;0;368500;1;36;0.0;-0.000037;n/a;n/a;n/a;27;inf;1.1;75845.492188;0;0.0;0.0;0.0;28;0.0;149871.250000;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.3;16;82;88;74;71;84;81;81;79;81;85;80;89;79;89;83;89;78;89;77;86;92;89;83;71;86;90;82;91;75;83;83;85
813645223;0;368500;1;37;0.0;-0.000022;n/a;n/a;n/a;27;70;1.0;17695.851562;0;0.0;0.0;0.0;28;0.0;167815.671875;0;0.0;0.0;0.0;0.0;0.20;786084;1525224;95;1.2;16;74;77;83;90;86;89;82;88;91;86;88;86;86;77;81;87;81;73;83;86;87;87;81;86;87;83;88;86;85;84;80;86
