time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15;cpu_16;cpu_17;cpu_18;cpu_19;cpu_20;cpu_21;cpu_22;cpu_23;cpu_24;cpu_25;cpu_26;cpu_27;cpu_28;cpu_29;cpu_30;cpu_31
813600666;0;368500;1;41;0.0;-0.000035;n/a;n/a;n/a;27;inf;1.0;7552.000000;0;0.0;0.0;0.0;28;0.0;72416.000000;0;0.0;0.0;0.0;0.0;0.20;786040;1525224;95;1.3;16;85;64;79;73;90;92;81;81;74;80;78;70;89;61;89;67;77;63;82;74;84;94;82;82;78;89;86;69;88;70;86;69
813601665;0;368500;1;39;0.0;-0.000043;n/a;n/a;n/a;26;64;1.0;12465.863281;0;0.0;0.0;0.0;28;0.0;72674.695312;0;0.0;0.0;0.0;0.0;0.20;786040;1525224;95;1.3;16;82;85;88;69;77;73;85;73;79;86;81;76;78;69;80;69;87;82;84;74;77;72;82;70;80;81;84;78;85;72;83;70
813602664;0;368500;1;41;0.0;-0.000035;n/a;n/a;n/a;26;inf;1.0;7266.932129;0;0.0;0.0;0.0;28;0.0;72127.492188;0;0.0;0.0;0.0;0.0;0.20;786040;1525224;94;1.5;16;76;88;83;69;87;81;83;73;77;68;79;86;74;68;89;81;85;82;78;66;88;83;81;68;86;66;80;81;74;69;86;76
813603662;0;368500;1;40;0.0;-0.000034;n/a;n/a;n/a;27;inf;1.0;10534.979492;0;0.0;0.0;0.0;28;0.0;107390.945312;0;0.0;0.0;0.0;0.0;0.20;786040;1525224;94;1.3;16;84;74;81;83;82;95;83;86;84;83;81;92;81;88;86;80;75;82;80;88;84;93;81;81;83;82;84;82;77;87;85;84
813604657;0;368500;1;40;0.0;-0.000044;n/a;n/a;n/a;27;inf;1.0;9961.089844;0;0.0;0.0;0.0;28;0.0;75922.179688;0;0.0;0.0;0.0;0.0;0.20;786040;1525224;94;1.4;16;84;83;83;78;82;83;88;74;89;79;83;74;86;74;82;90;83;87;88;85;82;88;90;74;80;85;87;76;83;81;85;86
813605657;0;368500;1;39;0.0;-0.000039;n/a;n/a;n/a;26;64;1.0;12544.000000;0;0.0;0.0;0.0;28;0.0;72128.000000;0;0.0;0.0;0.0;0.0;0.20;786040;1525224;94;1.4;16;85;96;81;70;79;70;84;71;75;78;83;72;81;94;80;79;88;96;83;77;83;71;81;71;80;86;89;71;79;90;74;82
813606654;0;368500;1;41;0.0;-0.000043;n/a;n/a;n/a;27;inf;1.0;7552.000000;0;0.0;0.0;0.0;28;0.0;81280.000000;0;0.0;0.0;0.0;0.0;0.20;786040;1525224;95;1.3;16;84;86;83;83;78;84;84;77;74;88;86;70;77;98;70;74;89;97;83;82;84;80;80;71;79;85;92;70;81;86;74;66
813607650;0;368500;1;40;0.0;-0.000036;n/a;n/a;n/a;27;64;1.0;10112.000000;0;0.0;0.0;0.0;28;0.0;69184.000000;0;0.0;0.0;0.0;0.0;0.20;786040;1525224;95;1.3;16;78;85;67;65;85;66;84;70;84;83;87;73;93;68;87;67;80;89;75;67;85;65;85;74;82;78;90;74;89;79;83;67
813608648;0;368500;1;40;0.0;-0.000053;n/a;n/a;n/a;27;70;1.0;7643.724609;0;0.0;0.0;0.0;28;0.0;73295.546875;0;0.0;0.0;0.0;0.0;0.20;786040;1525224;95;1.3;16;76;89;92;83;86;67;87;67;92;74;79;73;92;70;90;71;79;83;83;92;80;66;83;70;83;69;84;67;94;78;95;72
813609646;0;368500;1;40;0.0;-0.000043;n/a;n/a;n/a;27;63;1.0;12395.256836;0;0.0;0.0;0.0;27;0.0;71146.242188;0;0.0;0.0;0.0;0.0;0.20;786040;1525224;95;1.3;16;82;63;87;80;88;61;86;67;93;84;84;66;96;82;88;69;63;69;85;90;79;65;83;70;97;92;84;64;89;78;87;68
